1,E,Laura Senior VCGH ,Team VCGH,100
2,E,Laura S ,Cranleigh Cycling Club,95
3,E,Ellie Estchild ,London Dynamo,90
4,E,Moira Brailsford ,Kingston Wheelers,85
5,E,Lillian C ,London Dynamo,80
6,E,Fiona Inskip ,Njinga Cycling,75
7,E,Wendy Mathie ,Penge Cycle Club,70
8,E,Milly KMc ,Cranleigh Cycling Club,65
9,E,Hazel Smyth,ZC Team Ireland,60
10,E,Katie ,London Dynamo,55
11,E,Mariana Marques [CChasers/BCSE] ,Clapham Chasers,50
12,E,Sarah Mather [CChasers/BCSE],Clapham Chasers,49
13,E,Sheena Keates ,Chichester City Riders,48
14,E,Charlavoy Fisher [CCHASERS/BCSE] ,Clapham Chasers,47
15,E,Jools Karn-Smith ,Cranleigh Cycling Club,46
16,E,Jo Greening [CChasers/BCSE],Clapham Chasers,45
17,E,Kerry Cowsill ,Southborough District Wheelers,44
18,E,Jen Woolgar [CChasers/ BCSE],Clapham Chasers,43
19,E,Emily Bowyer ,Southborough District Wheelers,42
20,E,Bridie Macdonald ,Clapham Chasers,41
21,E,Sarah Kelly [CChasers/BCSE],Clapham Chasers,40
22,E,Claire Howard ,Southborough District Wheelers,39
23,E,Sandra Sellis CCR/BCSE ,Chichester City Riders,38
24,E,Catherine Twidle ,Njinga Cycling,37
25,E,Fi Wilkinson,Cranleigh Cycling Club,36
26,E,tori magill ,Cranleigh Cycling Club,35
27,E,Zoe Aarons [CChasers /,Clapham Chasers,34
28,E,Gail van der Leeden,Cranleigh Cycling Club,33
29,E,Penny Kell ,Cranleigh Cycling Club,32
30,E,Helen Monkhouse FCCC,Farnborough & Camberley Cycling,31
31,E,C Witts ,Cranleigh Cycling Club,30
32,E,Emily Pearson [CChasers/BCSE],Clapham Chasers,29
33,E,Emma Church ,Cranleigh Cycling Club,28
