1,C,Claude Autrey ,London Dynamo,50
2,C,Matt Feem ,Quick Release Cycling Club,49
3,C,Christian Rijs ,Clapham Chasers,48
4,C,Chris Gore ,Penge Cycle Club,47
5,C,Tomek Waligora BRC/BCSE,BRC,46
6,C,Simon Robinson ,Tri Surrey,45
7,C,Tom Northcott ,London Dynamo,44
8,C,John Sawyer ,Njinga Cycling,43
9,C,Mark Byrne ,ZC Team Ireland,42
10,C,Matt Nunn [MVC/BCSE],Medway Velo Club,41
11,C,Warren Gardiner ,Southborough District Wheelers,40
12,C,David Lomax ,Team VCGH,39
13,C,Stephen Farrington ,London Dynamo,38
14,C,Peter Loader ,Maison Du Velo |In Gear,37
15,C,David Stroud ,London Dynamo,36
16,C,Rob Sones ,Crawley wheelers,35
17,C,Alex Wilmer ,London Dynamo,34
18,C,Carlos Martinez SDW /,Southborough District Wheelers,33
19,C,Philip Church ,Maison Du Velo |In Gear,32
20,C,Stefan Nawrocki BCSouth ,Njinga Cycling,31
21,C,Ollie Kemp [CChasers/BCSE],Clapham Chasers,30
22,C,Michael Hailes ,ZC Team Ireland,29
23,C,Lloyd Griffin,Horsham Cycling Club,28
24,C,Dee Maguire [CChasers/BCSE],Clapham Chasers,27
25,C,Pierre Hall ,Quick Release Cycling Club,26
26,C,G Moloko ,Maison Du Velo |In Gear,25
27,C,Brendan Tracey ,London Dynamo,24
28,C,Rob Moore ,Tri Surrey,23
29,C,Martin Francis ,Njinga Cycling,22
30,C,Roly Sage [CChasers/BCSE],Clapham Chasers,21
31,C,Andrew Brown ,Crawley wheelers,20
32,C,Stephan Lanfermeijer ,Cranleigh Cycling Club,19
33,C,Thomas Reilly ,Cranleigh Cycling Club,18
34,C,Matt Mustoe ,Maison Du Velo |In Gear,17
35,C,Keith Gooders ,Cranleigh Cycling Club,16
36,C,Ren Bloice-Sanders ,Penge Cycle Club,15
37,C,Tony Hayre ,Quick Release Cycling Club,14
38,C,Ian Bradbury ,Horsham Cycling Club,13
39,C,Matt Drake ,Njinga Cycling,12
40,C,Phil Smith,Cranleigh Cycling Club,11
41,C,Steve Wells CCC/BCSE,Cranleigh Cycling Club,10
42,C,Pete Hathaway ,Cranleigh Cycling Club,9
43,C,Jono Moore ,Maison Du Velo |In Gear,8
44,C,Paul Elliman ,Hythe Cycling Club,7
45,C,Derek Mc Cormick ,ZC Team Ireland,6
46,C,Robin Gue ,Cranleigh Cycling Club,5
